OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name
,202,0,0.949019608,0.949019608,0.949019608,1,9,Deciduous Forest,2,High Intensity Developed,Deciduous Forest to High Intensity Developed
,203,0,0.658823529,0.6,0.658823529,1,9,Deciduous Forest,3,Medium Intensity Developed,Deciduous Forest to Medium Intensity Developed
,204,0,0.560784314,0.458823529,0.490196078,1,9,Deciduous Forest,4,Low Intensity Developed,Deciduous Forest to Low Intensity Developed
,205,0,0.760784314,0.8,0.219607843,1,9,Deciduous Forest,5,Developed Open Space,Deciduous Forest to Developed Open Space
,206,0,0.329411765,0.129411765,0,1,9,Deciduous Forest,6,Cultivated,Deciduous Forest to Cultivated
,207,0,0.760784314,0.631372549,0.309803922,1,9,Deciduous Forest,7,Pasture/Hay,Deciduous Forest to Pasture/Hay
,208,0,0.949019608,0.729411765,0.529411765,1,9,Deciduous Forest,8,Grassland,Deciduous Forest to Grassland
,209,0,0.760784314,0.850980392,0.870588235,1,9,Deciduous Forest,9,Deciduous Forest,Deciduous Forest to Deciduous Forest
,210,0,0,0.231372549,0,1,9,Deciduous Forest,10,Evergreen Forest,Deciduous Forest to Evergreen Forest
,211,0,0.031372549,0.631372549,0.231372549,1,9,Deciduous Forest,11,Mixed Forest,Deciduous Forest to Mixed Forest
,212,0,0.431372549,0.431372549,0,1,9,Deciduous Forest,12,Scrub/Shrub,Deciduous Forest to Scrub/Shrub
,213,0,0,0.360784314,0.360784314,1,9,Deciduous Forest,13,Palustrine Forested Wetland,Deciduous Forest to Palustrine Forested Wetland
,214,0,0.949019608,0.431372549,0,1,9,Deciduous Forest,14,Palustrine Scrub/Shrub Wetland,Deciduous Forest to Palustrine Scrub/Shrub Wetland
,215,0,0.949019608,0,0.949019608,1,9,Deciduous Forest,15,Palustrine Emergent Wetland,Deciduous Forest to Palustrine Emergent Wetland
,216,0,0.239215686,0,0.239215686,1,9,Deciduous Forest,16,Estuarine Forested Wetland,Deciduous Forest to Estuarine Forested Wetland
