"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Wet","Agriculture:All","","Grassland:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Wet","Agriculture:All","","Grassland:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Wet","Agriculture:All","","Grassland:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Wet","Agriculture:All","","Grassland:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Grassland",1,,,,,,,,
"","","Dry","Agriculture:All","","Shrubland:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Dry","Agriculture:All","","Shrubland:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Dry","Agriculture:All","","Shrubland:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Dry","Agriculture:All","","Shrubland:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Dry","Agriculture:All","","Shrubland:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Dry","Agriculture:All","","Shrubland:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Shrubland:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Shrubland:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Shrubland:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Shrubland:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Shrubland:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Mesic","Agriculture:All","","Shrubland:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Wet","Agriculture:All","","Shrubland:All","Hawai'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Wet","Agriculture:All","","Shrubland:All","Kaua'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Wet","Agriculture:All","","Shrubland:All","Lana'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Wet","Agriculture:All","","Shrubland:All","Maui","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Wet","Agriculture:All","","Shrubland:All","Moloka'i","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
